epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len
2 -- 31 -- 605.0703 -- 6.4124e-01 -- 1.0486e+00  False True 0 4.194304 1.048576 20
2 -- 32 -- 621.4254 -- 6.3631e-01 -- 5.2429e-01  False True 0 4.194304 0.524288 20
3 -- 0 -- 616.4766 -- 6.5962e-01 -- 1.0486e+00  False True 0 4.194304 0.524288 20
3 -- 1 -- 586.6995 -- 7.4272e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 2 -- 576.6593 -- 6.9773e-01 -- 4.1943e+00  False True 0 4.194304 0.524288 20
3 -- 3 -- 581.3722 -- 5.9028e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 4 -- 586.5253 -- 6.2250e-01 -- 1.0486e+00  False True 0 4.194304 0.524288 20
3 -- 5 -- 566.8134 -- 8.1005e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 6 -- 581.7446 -- 8.8390e-01 -- 1.0486e+00  False True 0 4.194304 0.524288 20
3 -- 7 -- 564.1197 -- 7.8000e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 8 -- 588.8910 -- 5.7086e-01 -- 1.0486e+00  False True 0 4.194304 0.524288 20
3 -- 9 -- 601.5397 -- 5.0117e-01 -- 5.2429e-01  False True 0 4.194304 0.524288 20
3 -- 10 -- 594.1576 -- 5.3308e-01 -- 1.0486e+00  False True 0 4.194304 0.524288 20
3 -- 11 -- 580.5457 -- 7.2206e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 12 -- 601.4622 -- 8.5493e-01 -- 1.0486e+00  False True 0 4.194304 0.524288 20
3 -- 13 -- 586.7307 -- 8.3880e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 14 -- 549.7368 -- 7.3179e-01 -- 4.1943e+00  False True 0 4.194304 0.524288 20
3 -- 15 -- 589.1977 -- 6.1133e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 16 -- 634.8548 -- 6.0009e-01 -- 1.0486e+00  False True 0 4.194304 0.524288 20
3 -- 17 -- 631.6220 -- 6.2732e-01 -- 2.0972e+00  False True 0 4.194304 0.524288 20
3 -- 18 -- 596.7328 -- 6.9832e-01 -- 4.1943e+00  False True 0 4.194304 0.524288 20
3 -- 19 -- 567.1226 -- 7.9873e-01 -- 8.3886e+00  False True 0 8.388608 0.524288 20
3 -- 20 -- 604.0187 -- 9.0513e-01 -- 4.1943e+00  False True 0 8.388608 0.524288 20
3 -- 21 -- 621.1422 -- 8.9656e-01 -- 2.0972e+00  False True 0 8.388608 0.524288 20
3 -- 22 -- 629.7564 -- 8.1279e-01 -- 1.0486e+00  False True 0 8.388608 0.524288 20
3 -- 23 -- 595.3893 -- 8.2522e-01 -- 2.0972e+00  False True 0 8.388608 0.524288 20
3 -- 24 -- 572.6456 -- 1.0254e+00 -- 4.1943e+00  False True 0 8.388608 0.524288 20
3 -- 25 -- 565.1178 -- 1.0909e+00 -- 8.3886e+00  False True 0 8.388608 0.524288 20
3 -- 26 -- 562.1395 -- 9.4100e-01 -- 1.6777e+01  False True 0 16.777216 0.524288 20
3 -- 27 -- 568.3257 -- 8.8688e-01 -- 8.3886e+00  False True 0 16.777216 0.524288 20
3 -- 28 -- 585.2803 -- 1.0049e+00 -- 4.1943e+00  False True 0 16.777216 0.524288 20
3 -- 29 -- 601.5005 -- 1.0489e+00 -- 2.0972e+00  False True 0 16.777216 1.048576 20
3 -- 30 -- 583.0920 -- 8.8393e-01 -- 4.1943e+00  False True 0 16.777216 1.048576 20
3 -- 31 -- 596.3217 -- 7.9292e-01 -- 2.0972e+00  False True 0 16.777216 1.048576 20
3 -- 32 -- 621.0678 -- 8.1245e-01 -- 1.0486e+00  False True 0 16.777216 1.048576 20
4 -- 0 -- 599.2019 -- 8.6841e-01 -- 2.0972e+00  False True 0 16.777216 1.048576 20
4 -- 1 -- 566.7167 -- 9.4045e-01 -- 4.1943e+00  False True 0 16.777216 1.048576 20
4 -- 2 -- 552.8304 -- 9.4225e-01 -- 8.3886e+00  False True 0 16.777216 1.048576 20
4 -- 3 -- 549.2723 -- 8.1260e-01 -- 1.6777e+01  False True 0 16.777216 1.048576 20
4 -- 4 -- 541.2197 -- 8.1528e-01 -- 3.3554e+01  False True 0 33.554432 1.048576 20
4 -- 5 -- 559.4990 -- 8.7599e-01 -- 1.6777e+01  False True 0 33.554432 1.048576 20
4 -- 6 -- 602.3392 -- 8.5719e-01 -- 8.3886e+00  False True 0 33.554432 1.048576 20
4 -- 7 -- 611.3378 -- 6.7699e-01 -- 4.1943e+00  False True 0 33.554432 1.048576 20
4 -- 8 -- 614.7292 -- 5.2722e-01 -- 2.0972e+00  False True 0 33.554432 1.048576 20
4 -- 9 -- 593.1181 -- 4.5470e-01 -- 4.1943e+00  False True 0 33.554432 1.048576 20
4 -- 10 -- 576.6716 -- 3.8500e-01 -- 8.3886e+00  False True 0 33.554432 1.048576 20
4 -- 11 -- 565.1709 -- 3.1951e-01 -- 1.6777e+01  False True 0 33.554432 1.048576 20
4 -- 12 -- 567.2833 -- 2.6192e-01 -- 8.3886e+00  False True 0 33.554432 1.048576 20
4 -- 13 -- 553.2676 -- 2.7279e-01 -- 1.6777e+01  False True 0 33.554432 1.048576 20
4 -- 14 -- 554.7815 -- 3.2956e-01 -- 8.3886e+00  False True 0 33.554432 1.048576 20
4 -- 15 -- 546.0883 -- 3.7976e-01 -- 1.6777e+01  False True 0 33.554432 1.048576 20
4 -- 16 -- 573.0169 -- 3.5207e-01 -- 8.3886e+00  False True 0 33.554432 1.048576 20
4 -- 17 -- 570.5162 -- 3.5815e-01 -- 1.6777e+01  False True 0 33.554432 1.048576 20
4 -- 18 -- 549.2703 -- 3.6856e-01 -- 3.3554e+01  False True 0 33.554432 1.048576 20
4 -- 19 -- 561.4154 -- 4.2346e-01 -- 1.6777e+01  False True 0 33.554432 2.097152 20
4 -- 20 -- 572.6296 -- 4.1479e-01 -- 8.3886e+00  False True 0 33.554432 2.097152 20
4 -- 21 -- 559.9182 -- 3.5648e-01 -- 1.6777e+01  False True 0 33.554432 2.097152 20
4 -- 22 -- 562.0509 -- 2.7711e-01 -- 8.3886e+00  False True 0 33.554432 2.097152 20
4 -- 23 -- 566.9605 -- 2.8856e-01 -- 4.1943e+00  False True 0 33.554432 2.097152 20
4 -- 24 -- 544.4368 -- 3.5318e-01 -- 8.3886e+00  False True 0 33.554432 2.097152 20
4 -- 25 -- 536.5469 -- 4.7997e-01 -- 1.6777e+01  False True 0 33.554432 2.097152 20
4 -- 26 -- 562.3378 -- 5.3687e-01 -- 8.3886e+00  False True 0 33.554432 2.097152 20
4 -- 27 -- 545.8365 -- 4.8430e-01 -- 1.6777e+01  False True 0 33.554432 2.097152 20
4 -- 28 -- 531.8511 -- 3.6542e-01 -- 3.3554e+01  False True 0 33.554432 4.194304 20
4 -- 29 -- 538.4292 -- 3.2551e-01 -- 1.6777e+01  False True 0 33.554432 4.194304 20
4 -- 30 -- 524.7117 -- 3.3227e-01 -- 3.3554e+01  False True 0 33.554432 4.194304 20
4 -- 31 -- 538.4519 -- 4.2590e-01 -- 1.6777e+01  False True 0 33.554432 4.194304 20
4 -- 32 -- 553.2943 -- 4.6843e-01 -- 8.3886e+00  False True 0 33.554432 4.194304 20
5 -- 0 -- 545.4183 -- 4.3157e-01 -- 1.6777e+01  False True 0 33.554432 4.194304 20
5 -- 1 -- 518.4578 -- 3.6455e-01 -- 3.3554e+01  False True 0 33.554432 4.194304 20
5 -- 2 -- 518.2227 -- 3.6737e-01 -- 6.7109e+01  False True 0 67.108864 4.194304 20
5 -- 3 -- 508.9646 -- 3.9026e-01 -- 1.3422e+02  False True 0 134.217728 4.194304 20
5 -- 4 -- 509.1811 -- 3.3750e-01 -- 6.7109e+01  False True 0 134.217728 4.194304 20
5 -- 5 -- 525.0668 -- 2.4760e-01 -- 3.3554e+01  False True 0 134.217728 4.194304 20
5 -- 6 -- 523.4474 -- 1.9709e-01 -- 6.7109e+01  False True 0 134.217728 4.194304 20
5 -- 7 -- 519.8601 -- 1.9517e-01 -- 1.3422e+02  False True 0 134.217728 4.194304 20
5 -- 8 -- 526.6946 -- 1.8779e-01 -- 6.7109e+01  False True 0 134.217728 4.194304 20
5 -- 9 -- 518.9064 -- 1.6380e-01 -- 1.3422e+02  False True 0 134.217728 4.194304 20
5 -- 10 -- 534.0309 -- 1.4004e-01 -- 6.7109e+01  False True 0 134.217728 8.388608 20
5 -- 11 -- 552.1735 -- 1.3242e-01 -- 3.3554e+01  False True 0 134.217728 8.388608 20
5 -- 12 -- 560.6953 -- 1.3593e-01 -- 1.6777e+01  False True 0 134.217728 8.388608 20
5 -- 13 -- 559.6599 -- 1.3761e-01 -- 3.3554e+01  False True 0 134.217728 8.388608 20
5 -- 14 -- 537.3796 -- 1.2784e-01 -- 6.7109e+01  False True 0 134.217728 8.388608 20
5 -- 15 -- 527.5944 -- 1.3622e-01 -- 1.3422e+02  False True 0 134.217728 8.388608 20
5 -- 16 -- 537.0169 -- 1.5685e-01 -- 6.7109e+01  False True 0 134.217728 8.388608 20
5 -- 17 -- 558.1983 -- 1.8273e-01 -- 3.3554e+01  False True 0 134.217728 8.388608 20
5 -- 18 -- 547.9469 -- 1.8349e-01 -- 6.7109e+01  False True 0 134.217728 8.388608 20
5 -- 19 -- 548.7157 -- 1.7546e-01 -- 3.3554e+01  False True 0 134.217728 16.777216 20
5 -- 20 -- 536.9067 -- 1.7291e-01 -- 6.7109e+01  False True 0 134.217728 16.777216 20
5 -- 21 -- 532.0867 -- 1.8538e-01 -- 1.3422e+02  False True 0 134.217728 16.777216 20
5 -- 22 -- 523.8068 -- 1.9076e-01 -- 2.6844e+02  False True 0 268.435456 16.777216 20
5 -- 23 -- 539.7509 -- 1.7340e-01 -- 1.3422e+02  False True 0 268.435456 16.777216 20
5 -- 24 -- 546.9669 -- 1.6963e-01 -- 6.7109e+01  False True 0 268.435456 16.777216 20
5 -- 25 -- 528.6418 -- 1.6584e-01 -- 1.3422e+02  False True 0 268.435456 16.777216 20
5 -- 26 -- 522.6329 -- 1.6829e-01 -- 2.6844e+02  False True 0 268.435456 16.777216 20
5 -- 27 -- 519.6726 -- 1.5604e-01 -- 5.3687e+02  False True 0 536.870912 16.777216 20
5 -- 28 -- 519.8293 -- 1.4761e-01 -- 2.6844e+02  False True 0 536.870912 16.777216 20
5 -- 29 -- 521.2172 -- 1.4227e-01 -- 1.3422e+02  False True 0 536.870912 16.777216 20
5 -- 30 -- 524.6849 -- 1.2932e-01 -- 6.7109e+01  False True 0 536.870912 16.777216 20
5 -- 31 -- 525.3719 -- 1.1425e-01 -- 3.3554e+01  False True 0 536.870912 16.777216 20
5 -- 32 -- 518.3599 -- 1.0902e-01 -- 6.7109e+01  False True 0 536.870912 33.554432 20
6 -- 0 -- 531.6254 -- 1.2813e-01 -- 3.3554e+01  False True 0 536.870912 33.554432 20
6 -- 1 -- 527.4114 -- 1.1957e-01 -- 6.7109e+01  False True 0 536.870912 33.554432 20
6 -- 2 -- 520.9257 -- 9.8741e-02 -- 1.3422e+02  False True 0 536.870912 33.554432 20
6 -- 3 -- 517.4279 -- 9.7933e-02 -- 2.6844e+02  False True 0 536.870912 33.554432 20
6 -- 4 -- 520.5909 -- 1.0546e-01 -- 1.3422e+02  False True 0 536.870912 33.554432 20
6 -- 5 -- 514.2703 -- 1.0213e-01 -- 2.6844e+02  False True 0 536.870912 33.554432 20
6 -- 6 -- 514.6519 -- 9.9312e-02 -- 1.3422e+02  False True 0 536.870912 33.554432 20
6 -- 7 -- 522.1826 -- 1.0293e-01 -- 6.7109e+01  False True 0 536.870912 33.554432 20
6 -- 8 -- 516.5862 -- 1.1622e-01 -- 1.3422e+02  False True 0 536.870912 33.554432 20
6 -- 9 -- 515.5737 -- 1.1012e-01 -- 2.6844e+02  False True 0 536.870912 33.554432 20
6 -- 10 -- 520.8451 -- 1.0377e-01 -- 1.3422e+02  False True 0 536.870912 33.554432 20
6 -- 11 -- 520.7238 -- 1.0355e-01 -- 2.6844e+02  False True 0 536.870912 33.554432 20
6 -- 12 -- 516.9233 -- 1.0927e-01 -- 5.3687e+02  False True 0 536.870912 33.554432 20
6 -- 13 -- 512.4905 -- 1.0531e-01 -- 1.0737e+03  False True 0 1073.741824 33.554432 20
6 -- 14 -- 512.1472 -- 9.9427e-02 -- 2.1475e+03  False True 0 2147.483648 33.554432 20
6 -- 15 -- 518.2920 -- 8.1427e-02 -- 1.0737e+03  False True 0 2147.483648 33.554432 20
6 -- 16 -- 539.0817 -- 5.8647e-02 -- 5.3687e+02  False True 0 2147.483648 33.554432 20
6 -- 17 -- 552.0012 -- 4.1540e-02 -- 2.6844e+02  False True 0 2147.483648 33.554432 20
